index,section_id,direction,point_time,traffic_flow_total,avg_speed_car,time_calc,if_next_time,hour_minutes_sin,hour_minutes_cos
2626711,G1001-7,上行,2021-01-01 00:15:00,67,96,20210101001500,1,0.0196336924606283,0.9998072404820648
1023497,G1001-7,上行,2021-01-01 00:30:00,60,93,20210101003000,1,0.03925981575906861,0.9992290362407229
4250810,G1001-7,上行,2021-01-01 00:45:00,65,96,20210101004500,1,0.05887080365118903,0.9982656101847159
4162124,G1001-7,上行,2021-01-01 01:00:00,59,97,20210101010000,1,0.1305261922200516,0.9914448613738104
4927210,G1001-7,上行,2021-01-01 01:15:00,50,82,20210101011500,1,0.149966755554045,0.9886910398241674
3348944,G1001-7,上行,2021-01-01 01:30:00,39,78,20210101013000,1,0.16934950384902459,0.9855560590580777
4705945,G1001-7,上行,2021-01-01 01:45:00,45,82,20210101014500,1,0.18866696468655522,0.9820411276703039
2757296,G1001-7,上行,2021-01-01 02:00:00,42,87,20210101020000,1,0.2588190451025208,0.9659258262890683
3502683,G1001-7,上行,2021-01-01 02:15:00,31,83,20210101021500,1,0.2777338458812922,0.9606580613579353
5375039,G1001-7,上行,2021-01-01 02:30:00,34,95,20210101023000,1,0.296541574975571,0.9550199444571866
7534147,G1001-7,上行,2021-01-01 02:45:00,36,93,20210101024500,1,0.31523498164776964,0.949013649188214
8199617,G1001-7,上行,2021-01-01 03:00:00,31,88,20210101030000,1,0.3826834323650898,0.9238795325112867
7106143,G1001-7,上行,2021-01-01 03:15:00,30,85,20210101031500,1,0.40074883310314097,0.916187957117136
7675875,G1001-7,上行,2021-01-01 03:30:00,27,81,20210101033000,1,0.418659737537428,0.9081431738250814
1423137,G1001-7,上行,2021-01-01 03:45:00,29,90,20210101034500,1,0.43640924067334214,0.8997482840522214
2554055,G1001-7,上行,2021-01-01 04:00:00,23,89,20210101040000,1,0.5,0.8660254037844386
880970,G1001-7,上行,2021-01-01 04:15:00,43,89,20210101041500,1,0.5169068966820275,0.8560416229147715
5741801,G1001-7,上行,2021-01-01 04:30:00,38,86,20210101043000,1,0.5336145159156115,0.8457278217039733
1631953,G1001-7,上行,2021-01-01 04:45:00,43,102,20210101044500,1,0.5501164165954933,0.8350879763187431
1382151,G1001-7,上行,2021-01-01 05:00:00,42,96,20210101050000,1,0.6087614290087205,0.7933533402912353
4805124,G1001-7,上行,2021-01-01 05:15:00,62,94,20210101051500,1,0.6242205399450177,0.7812481792047585
3008337,G1001-7,上行,2021-01-01 05:30:00,57,93,20210101053000,1,0.6394390019805848,0.7688418320734595
2183101,G1001-7,上行,2021-01-01 05:45:00,59,93,20210101054500,1,0.6544109481086103,0.7561390817803227
