flow,speed,time
51.0,56.0,2021-01-19 10:30:00
49.0,62.0,2021-01-19 10:45:00
54.0,65.0,2021-01-19 11:00:00
59.0,65.0,2021-01-19 11:15:00
52.0,65.0,2021-01-19 11:30:00
61.0,70.0,2021-01-19 11:45:00
53.0,59.0,2021-01-19 12:00:00
50.0,65.0,2021-01-19 12:15:00
50.0,63.0,2021-01-19 12:30:00
45.0,65.0,2021-01-19 12:45:00
47.0,60.0,2021-01-19 13:00:00
45.0,56.0,2021-01-19 13:15:00
42.0,50.0,2021-01-19 13:30:00
44.0,56.0,2021-01-19 13:45:00
56.0,65.0,2021-01-19 14:00:00
48.0,55.0,2021-01-19 14:15:00
52.0,55.0,2021-01-19 14:30:00
51.0,57.0,2021-01-19 14:45:00
50.0,60.0,2021-01-19 15:00:00
58.0,58.0,2021-01-19 15:15:00
71.0,62.0,2021-01-19 15:30:00
64.0,60.0,2021-01-19 15:45:00
47.0,45.0,2021-01-19 16:00:00
50.0,46.0,2021-01-19 16:15:00
47.0,59.0,2021-01-19 16:30:00
40.0,55.0,2021-01-19 16:45:00
47.0,55.0,2021-01-19 17:00:00
46.0,63.0,2021-01-19 17:15:00
47.0,63.0,2021-01-19 17:30:00
50.0,54.0,2021-01-19 17:45:00
55.0,64.0,2021-01-19 18:00:00
38.0,56.0,2021-01-19 18:15:00
38.0,52.0,2021-01-19 18:30:00
36.0,46.0,2021-01-19 18:45:00
43.0,49.0,2021-01-19 19:00:00
40.0,39.0,2021-01-19 19:15:00
40.0,56.0,2021-01-19 19:30:00
40.0,60.0,2021-01-19 19:45:00
36.0,72.0,2021-01-19 20:00:00
25.0,58.0,2021-01-19 20:15:00
31.0,81.0,2021-01-19 20:30:00
35.0,71.0,2021-01-19 20:45:00
33.0,75.0,2021-01-19 21:00:00
25.0,65.0,2021-01-19 21:15:00
26.0,69.0,2021-01-19 21:30:00
27.0,72.0,2021-01-19 21:45:00
21.0,74.0,2021-01-19 22:00:00
22.0,87.0,2021-01-19 22:15:00
26.0,87.0,2021-01-19 22:30:00
26.0,82.0,2021-01-19 22:45:00
23.0,87.0,2021-01-19 23:00:00
20.0,90.0,2021-01-19 23:15:00
13.0,98.0,2021-01-19 23:30:00
9.0,100.0,2021-01-19 23:45:00
11.0,100.0,2021-01-20 00:00:00
17.0,100.0,2021-01-20 00:15:00
14.0,100.0,2021-01-20 00:30:00
22.0,100.0,2021-01-20 00:45:00
16.0,100.0,2021-01-20 01:00:00
17.0,94.0,2021-01-20 01:15:00
12.0,80.0,2021-01-20 01:30:00
15.0,73.0,2021-01-20 01:45:00
9.0,73.0,2021-01-20 02:00:00
9.0,47.0,2021-01-20 02:15:00
7.0,65.0,2021-01-20 02:30:00
12.0,70.0,2021-01-20 02:45:00
7.0,56.0,2021-01-20 03:00:00
14.0,82.0,2021-01-20 03:15:00
12.0,71.0,2021-01-20 03:30:00
9.0,77.0,2021-01-20 03:45:00
15.0,84.0,2021-01-20 04:00:00
13.0,90.0,2021-01-20 04:15:00
13.0,87.0,2021-01-20 04:30:00
9.0,77.0,2021-01-20 04:45:00
8.0,69.0,2021-01-20 05:00:00
