flow,speed,time
54.0,53.0,2021-01-18 14:15:00
51.0,56.0,2021-01-18 14:30:00
58.0,64.0,2021-01-18 14:45:00
74.0,79.0,2021-01-18 15:00:00
47.0,60.0,2021-01-18 15:15:00
44.0,67.0,2021-01-18 15:30:00
43.0,74.0,2021-01-18 15:45:00
35.0,64.0,2021-01-18 16:00:00
34.0,55.0,2021-01-18 16:15:00
50.0,72.0,2021-01-18 16:30:00
50.0,73.0,2021-01-18 16:45:00
36.0,61.0,2021-01-18 17:00:00
37.0,51.0,2021-01-18 17:15:00
48.0,68.0,2021-01-18 17:30:00
50.0,75.0,2021-01-18 17:45:00
41.0,63.0,2021-01-18 18:00:00
46.0,60.0,2021-01-18 18:15:00
45.0,65.0,2021-01-18 18:30:00
41.0,73.0,2021-01-18 18:45:00
32.0,69.0,2021-01-18 19:00:00
33.0,70.0,2021-01-18 19:15:00
24.0,69.0,2021-01-18 19:30:00
23.0,72.0,2021-01-18 19:45:00
31.0,78.0,2021-01-18 20:00:00
24.0,80.0,2021-01-18 20:15:00
25.0,76.0,2021-01-18 20:30:00
29.0,78.0,2021-01-18 20:45:00
24.0,75.0,2021-01-18 21:00:00
17.0,56.0,2021-01-18 21:15:00
25.0,72.0,2021-01-18 21:30:00
24.0,66.0,2021-01-18 21:45:00
18.0,59.0,2021-01-18 22:00:00
13.0,66.0,2021-01-18 22:15:00
18.0,76.0,2021-01-18 22:30:00
15.0,70.0,2021-01-18 22:45:00
22.0,76.0,2021-01-18 23:00:00
17.0,82.0,2021-01-18 23:15:00
24.0,89.0,2021-01-18 23:30:00
12.0,68.0,2021-01-18 23:45:00
14.0,88.0,2021-01-19 00:00:00
21.0,85.0,2021-01-19 00:15:00
15.0,70.0,2021-01-19 00:30:00
10.0,74.0,2021-01-19 00:45:00
19.0,84.0,2021-01-19 01:00:00
9.0,70.0,2021-01-19 01:15:00
22.0,83.0,2021-01-19 01:30:00
12.0,66.0,2021-01-19 01:45:00
13.0,50.0,2021-01-19 02:00:00
20.0,57.0,2021-01-19 02:15:00
13.0,56.0,2021-01-19 02:30:00
11.0,30.0,2021-01-19 02:45:00
16.0,66.0,2021-01-19 03:00:00
14.0,45.0,2021-01-19 03:15:00
16.0,55.0,2021-01-19 03:30:00
14.0,46.0,2021-01-19 03:45:00
16.0,38.0,2021-01-19 04:00:00
13.0,31.0,2021-01-19 04:15:00
11.0,21.0,2021-01-19 04:30:00
12.0,8.0,2021-01-19 04:45:00
9.0,21.0,2021-01-19 05:00:00
10.0,31.0,2021-01-19 05:15:00
17.0,46.0,2021-01-19 05:30:00
10.0,37.0,2021-01-19 05:45:00
5.0,5.0,2021-01-19 06:00:00
13.0,66.0,2021-01-19 06:15:00
12.0,64.0,2021-01-19 06:30:00
9.0,64.0,2021-01-19 06:45:00
13.0,43.0,2021-01-19 07:00:00
7.0,28.0,2021-01-19 07:15:00
12.0,54.0,2021-01-19 07:30:00
10.0,54.0,2021-01-19 07:45:00
14.0,34.0,2021-01-19 08:00:00
11.0,20.0,2021-01-19 08:15:00
20.0,59.0,2021-01-19 08:30:00
27.0,78.0,2021-01-19 08:45:00
19.0,69.0,2021-01-19 09:00:00
22.0,73.0,2021-01-19 09:15:00
20.0,67.0,2021-01-19 09:30:00
33.0,76.0,2021-01-19 09:45:00
32.0,67.0,2021-01-19 10:00:00
30.0,79.0,2021-01-19 10:15:00
39.0,57.0,2021-01-19 10:30:00
47.0,60.0,2021-01-19 10:45:00
50.0,67.0,2021-01-19 11:00:00
48.0,60.0,2021-01-19 11:15:00
48.0,64.0,2021-01-19 11:30:00
60.0,67.0,2021-01-19 11:45:00
61.0,74.0,2021-01-19 12:00:00
51.0,60.0,2021-01-19 12:15:00
44.0,63.0,2021-01-19 12:30:00
43.0,62.0,2021-01-19 12:45:00
51.0,68.0,2021-01-19 13:00:00
39.0,57.0,2021-01-19 13:15:00
34.0,47.0,2021-01-19 13:30:00
46.0,48.0,2021-01-19 13:45:00
42.0,58.0,2021-01-19 14:00:00
52.0,64.0,2021-01-19 14:15:00
44.0,54.0,2021-01-19 14:30:00
42.0,50.0,2021-01-19 14:45:00
56.0,62.0,2021-01-19 15:00:00
47.0,59.0,2021-01-19 15:15:00
49.0,62.0,2021-01-19 15:30:00
75.0,66.0,2021-01-19 15:45:00
56.0,52.0,2021-01-19 16:00:00
49.0,48.0,2021-01-19 16:15:00
56.0,53.0,2021-01-19 16:30:00
40.0,44.0,2021-01-19 16:45:00
38.0,56.0,2021-01-19 17:00:00
49.0,62.0,2021-01-19 17:15:00
46.0,55.0,2021-01-19 17:30:00
38.0,59.0,2021-01-19 17:45:00
44.0,65.0,2021-01-19 18:00:00
56.0,56.0,2021-01-19 18:15:00
44.0,63.0,2021-01-19 18:30:00
30.0,55.0,2021-01-19 18:45:00
40.0,54.0,2021-01-19 19:00:00
34.0,53.0,2021-01-19 19:15:00
36.0,45.0,2021-01-19 19:30:00
37.0,50.0,2021-01-19 19:45:00
43.0,59.0,2021-01-19 20:00:00
28.0,72.0,2021-01-19 20:15:00
27.0,63.0,2021-01-19 20:30:00
29.0,76.0,2021-01-19 20:45:00
29.0,73.0,2021-01-19 21:00:00
33.0,75.0,2021-01-19 21:15:00
30.0,74.0,2021-01-19 21:30:00
27.0,62.0,2021-01-19 21:45:00
18.0,70.0,2021-01-19 22:00:00
21.0,74.0,2021-01-19 22:15:00
24.0,83.0,2021-01-19 22:30:00
24.0,81.0,2021-01-19 22:45:00
15.0,81.0,2021-01-19 23:00:00
22.0,81.0,2021-01-19 23:15:00
21.0,92.0,2021-01-19 23:30:00
19.0,90.0,2021-01-19 23:45:00
10.0,100.0,2021-01-20 00:00:00
15.0,99.0,2021-01-20 00:15:00
8.0,99.0,2021-01-20 00:30:00
19.0,93.0,2021-01-20 00:45:00
20.0,94.0,2021-01-20 01:00:00
16.0,92.0,2021-01-20 01:15:00
15.0,84.0,2021-01-20 01:30:00
10.0,41.0,2021-01-20 01:45:00
10.0,75.0,2021-01-20 02:00:00
10.0,56.0,2021-01-20 02:15:00
9.0,61.0,2021-01-20 02:30:00
10.0,59.0,2021-01-20 02:45:00
8.0,43.0,2021-01-20 03:00:00
9.0,53.0,2021-01-20 03:15:00
12.0,72.0,2021-01-20 03:30:00
10.0,75.0,2021-01-20 03:45:00
6.0,69.0,2021-01-20 04:00:00
13.0,90.0,2021-01-20 04:15:00
14.0,87.0,2021-01-20 04:30:00
6.0,53.0,2021-01-20 04:45:00
10.0,77.0,2021-01-20 05:00:00
9.0,69.0,2021-01-20 05:15:00
8.0,69.0,2021-01-20 05:30:00
5.0,68.0,2021-01-20 05:45:00
11.0,78.0,2021-01-20 06:00:00
15.0,84.0,2021-01-20 06:15:00
7.0,100.0,2021-01-20 06:30:00
7.0,100.0,2021-01-20 06:45:00
8.0,76.0,2021-01-20 07:00:00
12.0,52.0,2021-01-20 07:15:00
11.0,3.0,2021-01-20 07:30:00
